Clasificación;Título del Producto;Precio;URL
🟢 TORNILLO;Tornillo Volcanita Madera Crs Zincado 10x4 100 Unidades;6990.0;https://www.sodimac.cl/sodimac-cl/articulo/150593925/Tornillo-Volcanita-Madera-Crs-Zincado-10x4-100-Unidades/150593926
🟢 TORNILLO;Tornillo Volcanita Zn Pta Fina De 6 X1 1/ 4 (bolsa 1.000 Un);15990.0;https://www.sodimac.cl/sodimac-cl/articulo/149028289/Tornillo-Volcanita-Zn-Pta-Fina-De-6-X1-1--4-(bolsa-1.000-Un)/149028294
🟢 TORNILLO;Tornillo Volcanita Zn Pta Fina De 6 X1 1 /4 (bolsa 1.000 Un);17457.0;https://www.sodimac.cl/sodimac-cl/articulo/149028861/Tornillo-Volcanita-Zn-Pta-Fina-De-6-X1-1--4-(bolsa-1.000-Un)/149028862
🟢 TORNILLO;Tornillos Madera/volcanita Zincado 6x1 1/4 1 Kilo 650 Uni.;7990.0;https://www.sodimac.cl/sodimac-cl/articulo/150686108/Tornillos-Madera-volcanita-Zincado-6x1-1-4-1-Kilo-650-Uni./150686109
🟢 TORNILLO;Tornillo Cabeza Hexagonal Cg Punta Broca 12-14x 1  100un;4390.0;https://www.sodimac.cl/sodimac-cl/articulo/149089466/Tornillo-Cabeza-Hexagonal-Cg-Punta-Broca-12-14x-1--100un/149089467
🟢 TORNILLO;"Tornillo Tirafondo Madera 1/4 "" 4 mm 4 unidad(es)";390.0;"https://www.sodimac.cl/sodimac-cl/articulo/112857520/Tornillo-Tirafondo-Madera-1-4-""-4-mm-4-unidad(es)/112857522"
🟢 TORNILLO;Tornillo Cabeza Hexagonal Cg Punta Broca 10 x 5 /8 100un;2800.0;https://www.sodimac.cl/sodimac-cl/articulo/149089247/Tornillo-Cabeza-Hexagonal-Cg-Punta-Broca-10-x-5--8-100un/149089248
🟢 TORNILLO;"Tornillo Tirafondo Madera 1/2 "" 1/4 "" 4 unidad(es)";790.0;"https://www.sodimac.cl/sodimac-cl/articulo/112857259/Tornillo-Tirafondo-Madera-1-2-""-1-4-""-4-unidad(es)/112857260"
🟢 TORNILLO;"Tornillo Hexagonal Punta Broca 12 x 1"" 100 Unidades";15095.0;"https://www.sodimac.cl/sodimac-cl/articulo/139865587/Tornillo-Hexagonal-Punta-Broca-12-x-1""-100-Unidades/139865588"
🟢 TORNILLO;Tornillo Hexagonal Punta Broca 12x2 1/2 100 Und;6990.0;https://www.sodimac.cl/sodimac-cl/articulo/142895468/Tornillo-Hexagonal-Punta-Broca-12x2-1-2-100-Und/142895470
